Date,High Temp (°F),Low Temp (°F),Precipitation,Williamsburg Bridge,Total,Day %
2016-04-01,78.1,66.0,0.01,4115.0,11497,35.79
2016-04-02,55.0,48.9,0.15,2565.0,6922,37.06
2016-04-03,39.9,34.0,0.09,1695.0,4759,35.62
2016-04-04,44.1,33.1,0.47 (S),1440.0,4335,33.22
2016-04-05,42.1,26.1,0,3081.0,9471,32.53
2016-04-06,45.0,30.0,0,3856.0,11919,32.35
2016-04-07,57.0,53.1,0.09,3282.0,9596,34.2
2016-04-08,46.9,44.1,0.01,4113.0,12744,32.27
2016-04-09,43.0,37.9,0.09,1507.0,4510,33.41
2016-04-10,48.9,30.9,0,3132.0,9126,34.32
2016-04-11,62.1,46.0,0.01,4334.0,13312,32.56
2016-04-12,57.0,45.0,0.2,2762.0,8067,34.24
2016-04-13,57.0,39.9,0,5995.0,18422,32.54
2016-04-14,62.1,44.6,0,6030.0,18315,32.92
2016-04-15,64.0,44.1,0,5816.0,17570,33.1
2016-04-16,66.0,45.0,0,5624.0,16375,34.35
2016-04-17,73.9,46.0,0,5867.0,18180,32.27
2016-04-18,81.0,52.0,0,7432.0,23090,32.19
2016-04-19,71.1,63.0,0,7834.0,23318,33.6
2016-04-20,68.0,50.0,0,7639.0,22591,33.81
2016-04-21,71.1,50.0,0,7426.0,22127,33.56
2016-04-22,78.1,63.0,T,6093.0,17837,34.16
2016-04-23,70.0,61.0,0.16,4856.0,13426,36.17
2016-04-24,68.0,48.0,0,5335.0,16740,31.87
2016-04-25,66.9,54.0,0,6845.0,20850,32.83
2016-04-26,60.1,46.9,0.24,4559.0,13005,35.06
2016-04-27,62.1,46.9,0,6577.0,19914,33.03
2016-04-28,57.9,48.0,0,5336.0,15631,34.14
2016-04-29,57.0,46.9,0.05,5053.0,14954,33.79
2016-04-30,64.0,48.0,0,5675.0,17432,32.56
2016-04-01,78.1,66.0,0.01,4115.0,11497,35.79
2016-04-02,55.0,48.9,0.15,2565.0,6922,37.06
2016-04-03,39.9,34.0,0.09,1695.0,4759,35.62
2016-04-04,44.1,33.1,0.47 (S),1440.0,4335,33.22
2016-04-05,42.1,26.1,0,3081.0,9471,32.53
2016-04-06,45.0,30.0,0,3856.0,11919,32.35
2016-04-07,57.0,53.1,0.09,3282.0,9596,34.2
2016-04-08,46.9,44.1,0.01,4113.0,12744,32.27
2016-04-09,43.0,37.9,0.09,1507.0,4510,33.41
2016-04-10,48.9,30.9,0,3132.0,9126,34.32
2016-04-11,62.1,46.0,0.01,4334.0,13312,32.56
2016-04-12,57.0,45.0,0.2,2762.0,8067,34.24
2016-04-13,57.0,39.9,0,5995.0,18422,32.54
2016-04-14,62.1,44.6,0,6030.0,18315,32.92
2016-04-15,64.0,44.1,0,5816.0,17570,33.1
2016-04-16,66.0,45.0,0,5624.0,16375,34.35
2016-04-17,73.9,46.0,0,5867.0,18180,32.27
2016-04-18,81.0,52.0,0,7432.0,23090,32.19
2016-04-19,71.1,63.0,0,7834.0,23318,33.6
2016-04-20,68.0,50.0,0,7639.0,22591,33.81
2016-04-21,71.1,50.0,0,7426.0,22127,33.56
2016-04-22,78.1,63.0,T,6093.0,17837,34.16
2016-04-23,70.0,61.0,0.16,4856.0,13426,36.17
2016-04-24,68.0,48.0,0,5335.0,16740,31.87
2016-04-25,66.9,54.0,0,6845.0,20850,32.83
2016-04-26,60.1,46.9,0.24,4559.0,13005,35.06
2016-04-27,62.1,46.9,0,6577.0,19914,33.03
2016-04-28,57.9,48.0,0,5336.0,15631,34.14
2016-04-29,57.0,46.9,0.05,5053.0,14954,33.79
2016-04-30,64.0,48.0,0,5675.0,17432,32.56
2016-04-01,78.1,66.0,0.01,4115.0,11497,35.79
2016-04-02,55.0,48.9,0.15,2565.0,6922,37.06
2016-04-03,39.9,34.0,0.09,1695.0,4759,35.62
2016-04-04,44.1,33.1,0.47 (S),1440.0,4335,33.22
2016-04-05,42.1,26.1,0,3081.0,9471,32.53
2016-04-06,45.0,30.0,0,3856.0,11919,32.35
2016-04-07,57.0,53.1,0.09,3282.0,9596,34.2
2016-04-08,46.9,44.1,0.01,4113.0,12744,32.27
2016-04-09,43.0,37.9,0.09,1507.0,4510,33.41
2016-04-10,48.9,30.9,0,3132.0,9126,34.32
2016-04-11,62.1,46.0,0.01,4334.0,13312,32.56
2016-04-12,57.0,45.0,0.2,2762.0,8067,34.24
2016-04-13,57.0,39.9,0,5995.0,18422,32.54
2016-04-14,62.1,44.6,0,6030.0,18315,32.92
2016-04-15,64.0,44.1,0,5816.0,17570,33.1
2016-04-16,66.0,45.0,0,5624.0,16375,34.35
2016-04-17,73.9,46.0,0,5867.0,18180,32.27
2016-04-18,81.0,52.0,0,7432.0,23090,32.19
2016-04-19,71.1,63.0,0,7834.0,23318,33.6
2016-04-20,68.0,50.0,0,7639.0,22591,33.81
2016-04-21,71.1,50.0,0,7426.0,22127,33.56
2016-04-22,78.1,63.0,T,6093.0,17837,34.16
2016-04-23,70.0,61.0,0.16,4856.0,13426,36.17
2016-04-24,68.0,48.0,0,5335.0,16740,31.87
2016-04-25,66.9,54.0,0,6845.0,20850,32.83
2016-04-26,60.1,46.9,0.24,4559.0,13005,35.06
2016-04-27,62.1,46.9,0,6577.0,19914,33.03
2016-04-28,57.9,48.0,0,5336.0,15631,34.14
2016-04-29,57.0,46.9,0.05,5053.0,14954,33.79
2016-04-30,64.0,48.0,0,5675.0,17432,32.56
2016-04-01,78.1,66.0,0.01,4115.0,11497,35.79
2016-04-02,55.0,48.9,0.15,2565.0,6922,37.06
2016-04-03,39.9,34.0,0.09,1695.0,4759,35.62
2016-04-04,44.1,33.1,0.47 (S),1440.0,4335,33.22
2016-04-05,42.1,26.1,0,3081.0,9471,32.53
2016-04-06,45.0,30.0,0,3856.0,11919,32.35
2016-04-07,57.0,53.1,0.09,3282.0,9596,34.2
2016-04-08,46.9,44.1,0.01,4113.0,12744,32.27
2016-04-09,43.0,37.9,0.09,1507.0,4510,33.41
2016-04-10,48.9,30.9,0,3132.0,9126,34.32
2016-04-11,62.1,46.0,0.01,4334.0,13312,32.56
2016-04-12,57.0,45.0,0.2,2762.0,8067,34.24
2016-04-13,57.0,39.9,0,5995.0,18422,32.54
2016-04-14,62.1,44.6,0,6030.0,18315,32.92
2016-04-15,64.0,44.1,0,5816.0,17570,33.1
2016-04-16,66.0,45.0,0,5624.0,16375,34.35
2016-04-17,73.9,46.0,0,5867.0,18180,32.27
2016-04-18,81.0,52.0,0,7432.0,23090,32.19
2016-04-19,71.1,63.0,0,7834.0,23318,33.6
2016-04-20,68.0,50.0,0,7639.0,22591,33.81
2016-04-21,71.1,50.0,0,7426.0,22127,33.56
2016-04-22,78.1,63.0,T,6093.0,17837,34.16
2016-04-23,70.0,61.0,0.16,4856.0,13426,36.17
2016-04-24,68.0,48.0,0,5335.0,16740,31.87
2016-04-25,66.9,54.0,0,6845.0,20850,32.83
2016-04-26,60.1,46.9,0.24,4559.0,13005,35.06
2016-04-27,62.1,46.9,0,6577.0,19914,33.03
2016-04-28,57.9,48.0,0,5336.0,15631,34.14
2016-04-29,57.0,46.9,0.05,5053.0,14954,33.79
2016-04-30,64.0,48.0,0,5675.0,17432,32.56
2016-04-01,78.1,66.0,0.01,4115.0,11497,35.79
2016-04-02,55.0,48.9,0.15,2565.0,6922,37.06
2016-04-03,39.9,34.0,0.09,1695.0,4759,35.62
2016-04-04,44.1,33.1,0.47 (S),1440.0,4335,33.22
2016-04-05,42.1,26.1,0,3081.0,9471,32.53
2016-04-06,45.0,30.0,0,3856.0,11919,32.35
2016-04-07,57.0,53.1,0.09,3282.0,9596,34.2
2016-04-08,46.9,44.1,0.01,4113.0,12744,32.27
2016-04-09,43.0,37.9,0.09,1507.0,4510,33.41
2016-04-10,48.9,30.9,0,3132.0,9126,34.32
2016-04-11,62.1,46.0,0.01,4334.0,13312,32.56
2016-04-12,57.0,45.0,0.2,2762.0,8067,34.24
2016-04-13,57.0,39.9,0,5995.0,18422,32.54
2016-04-14,62.1,44.6,0,6030.0,18315,32.92
2016-04-15,64.0,44.1,0,5816.0,17570,33.1
2016-04-16,66.0,45.0,0,5624.0,16375,34.35
2016-04-17,73.9,46.0,0,5867.0,18180,32.27
2016-04-18,81.0,52.0,0,7432.0,23090,32.19
2016-04-19,71.1,63.0,0,7834.0,23318,33.6
2016-04-20,68.0,50.0,0,7639.0,22591,33.81
2016-04-21,71.1,50.0,0,7426.0,22127,33.56
2016-04-22,78.1,63.0,T,6093.0,17837,34.16
2016-04-23,70.0,61.0,0.16,4856.0,13426,36.17
2016-04-24,68.0,48.0,0,5335.0,16740,31.87
2016-04-25,66.9,54.0,0,6845.0,20850,32.83
2016-04-26,60.1,46.9,0.24,4559.0,13005,35.06
2016-04-27,62.1,46.9,0,6577.0,19914,33.03
2016-04-28,57.9,48.0,0,5336.0,15631,34.14
2016-04-29,57.0,46.9,0.05,5053.0,14954,33.79
2016-04-30,64.0,48.0,0,5675.0,17432,32.56
2016-04-01,78.1,66.0,0.01,4115.0,11497,35.79
2016-04-02,55.0,48.9,0.15,2565.0,6922,37.06
2016-04-03,39.9,34.0,0.09,1695.0,4759,35.62
2016-04-04,44.1,33.1,0.47 (S),1440.0,4335,33.22
2016-04-05,42.1,26.1,0,3081.0,9471,32.53
2016-04-06,45.0,30.0,0,3856.0,11919,32.35
2016-04-07,57.0,53.1,0.09,3282.0,9596,34.2
2016-04-08,46.9,44.1,0.01,4113.0,12744,32.27
2016-04-09,43.0,37.9,0.09,1507.0,4510,33.41
2016-04-10,48.9,30.9,0,3132.0,9126,34.32
2016-04-11,62.1,46.0,0.01,4334.0,13312,32.56
2016-04-12,57.0,45.0,0.2,2762.0,8067,34.24
2016-04-13,57.0,39.9,0,5995.0,18422,32.54
2016-04-14,62.1,44.6,0,6030.0,18315,32.92
2016-04-15,64.0,44.1,0,5816.0,17570,33.1
2016-04-16,66.0,45.0,0,5624.0,16375,34.35
2016-04-17,73.9,46.0,0,5867.0,18180,32.27
2016-04-18,81.0,52.0,0,7432.0,23090,32.19
2016-04-19,71.1,63.0,0,7834.0,23318,33.6
2016-04-20,68.0,50.0,0,7639.0,22591,33.81
2016-04-21,71.1,50.0,0,7426.0,22127,33.56
2016-04-22,78.1,63.0,T,6093.0,17837,34.16
2016-04-23,70.0,61.0,0.16,4856.0,13426,36.17
2016-04-24,68.0,48.0,0,5335.0,16740,31.87
2016-04-25,66.9,54.0,0,6845.0,20850,32.83
2016-04-26,60.1,46.9,0.24,4559.0,13005,35.06
2016-04-27,62.1,46.9,0,6577.0,19914,33.03
2016-04-28,57.9,48.0,0,5336.0,15631,34.14
2016-04-29,57.0,46.9,0.05,5053.0,14954,33.79
2016-04-30,64.0,48.0,0,5675.0,17432,32.56
2016-04-01,78.1,66.0,0.01,4115.0,11497,35.79
2016-04-02,55.0,48.9,0.15,2565.0,6922,37.06
2016-04-03,39.9,34.0,0.09,1695.0,4759,35.62
2016-04-04,44.1,33.1,0.47 (S),1440.0,4335,33.22
2016-04-05,42.1,26.1,0,3081.0,9471,32.53
2016-04-06,45.0,30.0,0,3856.0,11919,32.35
2016-04-07,57.0,53.1,0.09,3282.0,9596,34.2
2016-04-08,46.9,44.1,0.01,4113.0,12744,32.27
2016-04-09,43.0,37.9,0.09,1507.0,4510,33.41
2016-04-10,48.9,30.9,0,3132.0,9126,34.32
2016-04-11,62.1,46.0,0.01,4334.0,13312,32.56
2016-04-12,57.0,45.0,0.2,2762.0,8067,34.24
2016-04-13,57.0,39.9,0,5995.0,18422,32.54
2016-04-14,62.1,44.6,0,6030.0,18315,32.92
2016-04-15,64.0,44.1,0,5816.0,17570,33.1
2016-04-16,66.0,45.0,0,5624.0,16375,34.35
2016-04-17,73.9,46.0,0,5867.0,18180,32.27
2016-04-18,81.0,52.0,0,7432.0,23090,32.19
2016-04-19,71.1,63.0,0,7834.0,23318,33.6
2016-04-20,68.0,50.0,0,7639.0,22591,33.81
2016-04-21,71.1,50.0,0,7426.0,22127,33.56
2016-04-22,78.1,63.0,T,6093.0,17837,34.16
2016-04-23,70.0,61.0,0.16,4856.0,13426,36.17
2016-04-24,68.0,48.0,0,5335.0,16740,31.87
2016-04-25,66.9,54.0,0,6845.0,20850,32.83
2016-04-26,60.1,46.9,0.24,4559.0,13005,35.06
2016-04-27,62.1,46.9,0,6577.0,19914,33.03
2016-04-28,57.9,48.0,0,5336.0,15631,34.14
2016-04-29,57.0,46.9,0.05,5053.0,14954,33.79
2016-04-30,64.0,48.0,0,5675.0,17432,32.56
